CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,Cluster
928566652,95,0,95,0,1,24.99,0,0,0,0,100,112.58,12.5,27.95,10,30.11,11,47.44,0,0,0,0,0,0,0,0,1,8.39,1,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,0,0,1.1258,2.236,3.011,4.312727273,0,0,0,0,8.39,4.24,0,0,0,0,0,0,0,0,4
928866649,85,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
929425791,94,0,94,0,43,97.85,5,10.24,0,0,0,0,0,0,7,11.67,17,46.33,5,9.7,6,16.58,1,2.69,1,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9.95,2.275581395,2.048,0,0,0,1.667142857,2.725294118,1.94,2.763333333,2.69,7.53,0,0,0,0,0,0,0,0,0,1.99,4
930546247,95,433,578,50,46,60.36,7,1.14,0,0,264,817,0,0,8,13.57,5,16.95,4,6.84,13,34.12,3,5.91,2,6.4,13,26.73,0,0,0,0,0,0,0,0,2.5,18.73,1,1,0,0,0,0,7,18.27,1.312173913,0.162857143,0,3.09469697,0,1.69625,3.39,1.71,2.624615385,1.97,3.2,2.056153846,0,0,0,0,0,7.492,1,0,2.61,4
931155402,94,366,488,28,0,0,3,5.97,0,0,0,0,0,0,5,5,5,11.06,0,0,3,7.17,15,16.85,0,0,2,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.99,0,1.99,0,0,0,1,2.212,0,2.39,1.123333333,0,4.09,0,0,0,0,0,0,0,0,2.99,4
931700991,94,378,505,33,0,0,0,0,0,0,0,0,0,0,0,0,3,13.27,0,0,0,0,2,2.91,0,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.423333333,0,0,1.455,0,0,1.777777778,0,0,0,0,0,0,0,0,4
933022295,94,0,94,0,1,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,91.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,1.949148936,0,0,0,0,0,0,0,4
933210353,94,0,94,0,2,5.68,4,1,0,0,0,0,0,0,5,5,1,4.99,0,0,66,162.57,4,3.66,1,2.49,0,0,2,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.48,2.84,0.25,0,0,0,1,4.99,0,2.463181818,0.915,2.49,0,1.49,0,0,0,0,0,0,0,3.24,4
933570392,94,0,94,0,3,15.27,0,0,0,0,0,0,24,58.06,1,1,0,0,1,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23.98,0,0,5.09,0,0,0,2.419166667,1,0,1.19,0,0,0,0,0,0,0,0,0,0,0,11.99,0,4
936852995,94,448,570,28,20,76.34,1,11.89,0,0,1,2.39,14.333,44.93,6,9.6,13.251,77.4,15,36.7,0,0,0,0,0,0,0,0,0,0,0,0,1,7.99,12,35.94,0,0,1,0.75,0,0,1,9.99,5,15.71,3.817,11.89,0,2.39,3.134724063,1.6,5.841068599,2.446666667,0,0,0,0,0,0,7.99,0,2.995,0,0.75,9.99,3.142,4
937644433,94,456,588,38,0,0,0,0,0,0,63,145.16,6,13.86,1,3.49,1.583,7.2,6,23.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.09,0,0,0,0,0,2.304126984,2.31,3.49,4.548325963,3.956666667,0,0,0,0,0,0,0,0,0,0,0,11.03,0,4
938102209,95,426,558,37,122,424.16,0,0,0,0,17,66.69,53.333,236.49,18,23.4,14,46.68,5,3.45,1,7.49,0,0,1,6.37,0,0,0,0,38.112,204.26,13.722,103.12,5,16.78,24.5,256.68,1,14.99,0,0,2.806,64.34,30,19.5,3.476721312,0,0,3.922941177,4.434215214,1.3,3.334285714,0.69,7.49,0,6.37,0,0,5.359466835,7.514939513,0,3.356,10.47673469,14.99,22.92943692,0.65,4
942905738,95,0,133,38,0,0,2,1,0,0,9,66.91,1.776,13.85,1,1.49,13,114.14,0,0,0,0,0,0,13,27.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.98,0,0.5,0,7.434444444,7.798423423,1.49,8.78,0,0,0,2.088461539,0,0,0,0,0,0,0,0,0,4.49,4
943173948,78,447,525,0,28,295.23,76,205.61,1,3.97,1,3.59,1.5,7.49,5,12.8,78.666,178.35,2,2.99,16,31.46,3,0.7,0,0,0,0,0,0,26.417,87.38,0,0,3.75,11.37,6.972,26.08,0,0,59.917,135.92,0,0,2,2.46,10.54392857,2.705394737,3.97,3.59,4.993333333,2.56,2.26718023,1.495,1.96625,0.233333333,0,0,0,3.307718515,0,2.268471385,3.032,3.740676994,0,0,1.23,4
943195909,86,332,418,0,7,32.03,0,0,0,0,1,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.59,0,0,0,0,6.667,39.94,8.889,22.7,0,0,0,0,1,4.99,0,0,4.575714286,0,0,6.37,0,0,0,0,0,0,0,0,3.59,0,0,0,5.990700465,2.553718079,0,4.99,0,4
