CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,Cluster
416684835,34,1,49,14,18,53.72,1,2.99,0,0,3,7.97,10,39.12,11,15.73,8.333,42.53,0,0,2,5.59,6,14.24,0,0,0,0,0,0,3,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.984444444,2.99,0,2.656666667,3.912,1.43,5.103804152,0,2.795,2.373333333,0,0,0,1.833333333,0,0,0,0,0,0,0,5
433973484,32,79,121,10,0,0,0,0,0,0,0,0,2,4.23,0,0,9,47.29,0,0,0,0,0,0,4,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.115,0,5.254444444,0,0,0,2.5425,0,0,0,0,0,0,0,0,0,0,5
440618486,31,183,223,9,1,3.19,3,4.45,0,0,0,0,0,0,1,2.79,0,0,0,0,2,2.98,2,5.99,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0,0,0,0,4,11.96,3.19,1.483333333,0,0,0,2.79,0,0,1.49,2.995,0.8,0,0,0,0,0,0,0,0.8,0,2.99,5
448302729,40,0,54,14,25,88.53,0,0,4,25.16,3,6.69,7,16.77,0,0,4,11.36,0,0,0,0,0,0,2,6.38,0,0,2,4.48,0,0,0,0,0,0,5.625,23.49,0,0,0,0,3,24.97,3,4.77,3.5412,0,6.29,2.23,2.395714286,0,2.84,0,0,0,3.19,0,2.24,0,0,0,0,4.176,0,8.323333333,1.59,5
461920647,31,0,37,6,1,2.99,0,0,0,0,0,0,3.25,13.21,0,0,12.625,38.96,0,0,1,2.39,1.334,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.49,4,21.31,2.99,0,0,0,4.064615385,0,3.085940594,0,2.39,2.991004498,0,0,0,0,0,0,0,0,0,7.49,5.3275,5
476859723,40,91,138,7,1,2.8,0,0,0,0,9,28.64,3,8.95,0,0,5,15.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,2.8,0,0,3.182222222,2.983333333,0,3.088,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,5
503560823,34,0,45,11,2,5.1,0,0,6,221.27,0,0,0,0,4,3.25,11,30.42,0,0,0,0,3,4.77,0,0,0,0,0,0,0,0,0,0,8.125,53.26,0,0,0,0,0,0,0,0,0,0,2.55,0,36.87833333,0,0,0.8125,2.765454546,0,0,1.59,0,0,0,0,0,0,6.555076923,0,0,0,0,5
504021916,27,0,35,8,4,17.26,9,14.35,2,46.73,0,0,0,0,7,7.52,5,17.35,3,6.47,0,0,3,5.28,0,0,6,52.65,0,0,0,0,0,0,0,0,0,0,0,0,35.5,43.92,1,3.39,2,1.63,4.315,1.594444444,23.365,0,0,1.074285714,3.47,2.156666667,0,1.76,0,8.775,0,0,0,1.237183099,0,0,0,3.39,0.815,5
520126558,30,0,46,16,0,0,0,0,0,0,0,0,0,0,2,5.98,1,2.99,7,8.93,2,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,2.99,1.275714286,4.79,0,0,0,0,0,0,0,0,0,0,0,0,5
526481205,18,0,22,4,2,4.98,3,7.37,0,0,0,0,2.5,10.48,5,5,0,0,0,0,0,0,4,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.99,2.49,2.456666667,0,0,4.192,1,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,6.99,5
580188878,18,17,39,4,0,0,0,0,0,0,0,0,0,0,3,2.19,0,0,0,0,0,0,0,0,0,0,0,0,18,49.14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,2.73,0,0,0,0,0,1,0,0,5
597630151,41,78,123,4,0,0,0,0,0,0,0,0,0,0,0,0,0.625,2.06,0,0,2,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.296,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,5
632722245,47,0,63,16,27,91.73,33,30.72,18,443.08,0,0,3,7.72,9,22.72,23.777,118.24,6,24.34,5,24.75,28,87.33,2,12.59,0,0,0,0,0.375,3.69,13.333,106.76,0,0,1.25,9.76,0,0,13.736,120.11,0,0,3,13.61,3.397407407,0.930909091,24.61555556,0,2.573333333,2.524444444,4.972872944,4.056666667,4.95,3.118928571,6.295,0,0,9.84,8.00720018,8.744175888,0,7.808,0,0,4.536666667,5
637258260,37,205,255,13,1,1.48,11,7.67,0,0,7,3.46,0,0,7,6.83,1,2.4,10,39.8,11,22.61,18,7.54,1,6.64,0,0,9,34.05,0,0,1,3.77,0,0,0,0,4,3.15,0,0,0,0,16,22.38,1.48,0.697272727,0,0.494285714,0,0.975714286,2.4,3.98,2.055454546,0.418888889,6.64,0,3.783333333,0,3.77,0,0,0,0.7875,0,1.39875,5
