CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,Cluster
12560322,0,0,12,12,5,22.27,0,0,0,0,0,0,3,13.19,0,0,4,9.92,0,0,0,0,1,1.74,0,0,24,3.84,3,23.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9.75,4.454,0,0,0,4.396666667,0,2.48,0,0,1.74,0,0.16,7.906666667,0,0,0,0,0,0,0,1.95,0
129543864,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.99,0,0,0,0,0,0,0,0,2,11.98,1,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.995,0,0,0,0,5.99,0.34,0
157019274,0,0,14,14,0,0,0,0,0,0,0,0,0,0,2,1.69,4,40.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845,10.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161670583,0,0,18,18,1,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164853178,0,56,76,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.97,0,0,0
177320520,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1.99,0,0,0,0,1,4.49,0,0,0,0,0,0,0,0,2,15.58,0,0,0,0,1,5.99,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,4.49,0,0,0,0,7.79,0,0,0,5.99,0,0,0
178499711,0,0,22,22,0,0,1,0.85,1,24.99,1,3.49,0,0,3,5.94,17,44.12,0,0,0,0,2,2.54,1,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,24.99,3.49,0,1.98,2.595294118,0,0,1.27,6.4,0,0,0,0,0,0,0,0,0,0,0
180675134,0,0,5,5,0,0,4,10.26,0,0,0,0,0,0,0,0,1,15.99,1,3.99,0,0,0,0,1,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.49,0,2.565,0,0,0,0,15.99,3.99,0,0,2.99,0,0,0,0,0,0,0,0,0,5.49,0
192165728,0,32,43,11,0,0,0,0,0,0,0,0,2,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225252501,0,0,12,12,7,17.93,0,0,0,0,0,0,0,0,0,0,1,2.99,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,2.125,8.91,0,0,0,0,0,0,0,0,2.561428571,0,0,0,0,0,2.99,0,0,0,0,0,0,4,0,0,0,4.192941177,0,0,0,0
226745578,0,0,17,17,0,0,0,0,0,0,0,0,2,9.59,0,0,3,23.93,0,0,0,0,0,0,0,0,0,0,0,0,3.25,7.55,1.25,4.99,1,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.795,0,7.976666667,0,0,0,0,0,0,2.323076923,3.992,0,3.99,0,0,0,0,0
