CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,Cluster
82732892,0,433,482,49,23,135.39,53,86.1,0,0,4,4.76,15.5,71.64,7,10.48,26.25,130.06,1,0.5,1,2.79,24.875,24.83,2,2.13,0,0,0,0,4.5,6.16,0,0,0,0,1,8.99,0,0,0,0,1,10.99,9,30.91,5.886521739,1.624528302,0,1.19,4.621935484,1.497142857,4.954666667,0.5,2.79,0.998190955,1.065,0,0,1.368888889,0,0,0,8.99,0,10.99,3.434444444,1
152044061,0,457,505,48,18,193.32,0,0,1,8.92,26,105.08,33.653,148.16,5,7.4,2,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,70.97,0,0,0,0,0,0,10.74,0,8.92,4.041538462,4.402579265,1.48,0.315,0,0,0,0,0,0,0,0,0,0,0,6.451818182,0,0,1
156130643,0,450,484,34,34,94.89,0,0,0,0,21,62.92,7,42.21,13,44.32,47.5,212.34,3,6.29,1,1.49,5,12.91,1,8.99,3,4.93,0,0,11,12.24,3.25,25.61,0,0,0,0,1,7.16,0,0,2.5,18.58,4,6.46,2.790882353,0,0,2.996190476,6.03,3.409230769,4.47031579,2.096666667,1.49,2.582,8.99,1.643333333,0,1.112727273,7.88,0,0,0,7.16,7.432,1.615,1
156707333,0,441,478,37,0,0,0,0,0,0,4,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157207697,0,448,496,48,12,80.41,0,0,0,0,11,8.28,39.484,138.13,7,11.64,11,28.46,0,0,0,0,0,0,0,0,0,0,0,0,11,25.41,0,0,0,0,0,0,2,11.98,0,0,5,43.97,0,0,6.700833333,0,0,0.752727273,3.49837909,1.662857143,2.587272727,0,0,0,0,0,0,2.31,0,0,0,0,5.99,8.794,0,1
190525816,0,445,487,42,6,36.14,0,0,1,4.19,0,0,20.945,114.33,0,0,10.5,64.35,1,3.59,0,0,4,6.76,0,0,0,0,6,10.87,2,2.98,0,0,7,24.43,1,3.59,0,0,0,0,3,11.97,0,0,6.023333333,0,4.19,0,5.458582001,0,6.128571429,3.59,0,1.69,0,0,1.811666667,1.49,0,0,3.49,3.59,0,3.99,0,1
197754799,0,439,487,48,22.556,39.12,0,0,0,0,0,0,36.327,220.34,2,1.5,32.459,98.65,3,16.97,0,0,5,12.04,4,4.58,2,4.98,0,0,0,0,3,15.58,0,0,0,0,0,0,0.75,5.5,1,14.99,2,7.4,1.734350062,0,0,0,6.065460952,0.75,3.039218707,5.656666667,0,2.408,1.145,2.49,0,0,5.193333333,7.333333333,0,0,0,14.99,3.7,1
206960692,0,258,303,45,5,15.58,11,27.59,8,100.67,7,34.95,1,4.19,3,20.98,4,28.46,1,1,0,0,1,2.49,0,0,0,0,0,0,1,4.99,0,0,0,0,2,14.49,0,0,0,0,2,20.38,0,0,3.116,2.508181818,12.58375,4.992857143,4.19,6.993333333,7.115,1,0,2.49,0,0,0,4.99,0,0,0,7.245,0,10.19,0,1
213148661,0,446,493,47,17,34.84,0,0,0,0,9,37.01,5,19.46,5,6.39,12,38.7,1,1,5,20.35,2,2.68,0,0,0,0,3,8.17,0,0,1.5,9.99,3.25,16.24,0.5,4.12,2,8.38,0,0,1,6.49,4,15.66,2.049411765,0,0,4.112222222,3.892,1.278,3.225,1,4.07,1.34,0,0,2.723333333,0,6.66,0,4.996923077,8.24,4.19,6.49,3.915,1
217259126,0,429,458,29,0,0,1,3.99,0,0,0,0,6.014,23.27,1,1.59,18,130.38,0,0,0,0,11,33.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,7.42,0,0,1,6.29,0,3.99,0,0,3.869304955,1.59,7.243333333,0,0,3.083636364,0,0,0,0,0,2.968,0,0,0,0,6.29,1
