CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster
177320520,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1.99,0,0,0,0,1,4.49,0,0,0,0,0,0,0,0,2,15.58,0,0,0,0,1,5.99,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,4.49,0,0,0,0,7.79,0,0,0,5.99,0,0,28.05,1.335714286,3
188715353,0,0,32,32,2,8.23,0,0,0,0,4,16.46,0,0,0,0,9.75,38.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,4.65,3.416,14.06,0,0,0,0,0,0,0,0,2,6.91,4.115,0,0,4.115,0,0,3.903589744,0,0,0,0,0,0,0,3.496240602,0,4.115925059,0,0,0,3.455,88.37,4.208095238,3
225415611,0,0,38,38,0,0,0,0,0,0,0,0,0,0,2,1.59,0,0,0,0,13,19.41,0,0,0,0,1,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.32,0,0,0,0,0,0.795,0,0,1.493076923,0,0,3.96,0,0,0,0,0,0,0,0,3.33,38.28,1.822857143,3
229820485,22,0,74,52,64,147.93,4,8.83,0,0,9,28.07,16.972,47.4,1,3,36,83.68,2,2.49,11,29.81,12,23.69,2,4.18,0,0,1,2.99,57.653,317.48,10.5,41.38,3,12.58,6,14.98,4,27.46,5,17.06,2.778,40.11,7,15.29,2.31140625,2.2075,0,3.118888889,2.792835258,3,2.324444444,1.245,2.71,1.974166667,2.09,0,2.99,5.506738591,3.940952381,3.412,4.193333333,2.496666667,6.865,14.43844492,2.184285714,868.41,41.35285714,3
240989574,0,256,301,45,6,36.52,0,0,0,0,0,0,13,66.25,1,0.64,26,175.99,0,0,0,0,0,0,0,0,1,8.99,0,0,3,4.17,0,0,0,0,0,0,1,10.77,0,0,0,0,1,1.79,6.086666667,0,0,0,5.096153846,0.64,6.768846154,0,0,0,0,8.99,0,1.39,0,0,0,0,10.77,0,1.79,305.12,14.52952381,3
244431151,0,30,82,52,40,186.71,1,1.97,0,0,12,29.57,10.778,28.32,36,38.82,37.889,128.31,12,81.41,8,30.39,9,11.99,0,0,6,10.57,2,3.26,0.778,0.97,10.584,53.71,1,5.99,0,0,4,9.99,0,0,3,26.57,20,8.79,4.66775,1.97,0,2.464166667,2.627574689,1.078333333,3.386471007,6.784166667,3.79875,1.332222222,0,1.761666667,1.63,1.246786632,5.074640968,0,5.99,0,2.4975,8.856666667,0.4395,657.34,31.30190476,3
250157153,0,0,34,34,0,0,3,9.98,0,0,0,0,9.25,25.58,1,0.6,4,19.98,0,0,0,0,0,0,3,1.68,9,23.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29.05,7,3.71,0,3.326666667,0,0,2.765405405,0.6,4.995,0,0,0,0.56,2.612222222,0,0,0,0,0,0,0,5.81,0.53,114.09,5.432857143,3
250805413,0,0,45,45,12,119.22,0,0,0,0,2,5.24,27.625,75.42,0,0,4,7.57,0,0,0,0,0,0,0,0,0,0,0,0,3.063,14.39,0,0,0,0,12,11.94,0,0,0,0,2,117.74,1,2.24,9.935,0,0,2.62,2.730135747,0,1.8925,0,0,0,0,0,0,4.698008488,0,0,0,0.995,0,58.87,2.24,353.76,16.84571429,3
257514604,0,189,204,15,3,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.39,0,0,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39,0,8.14,0.387619048,3
264307141,0,0,39,39,2,11.38,0,0,0,0,2,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.96,0.998095238,3
