VAR1,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,net_sales,Cluster
3960,570294702,0,0.8455114823,0.7789115646,0.828125,0.075,0.0528150402,0.1291028446,0.0934923882,0.0256410256,0.015794652,0.0026666667,0.0019140287,0.158910226,0.1187475362,0.1954022989,0.1747053245,0.1961486636,0.1724864104,0,0,0,0,0,0,0.0650406504,0.0414704112,0,0,0,0,0,0,0,0,0.0373077712,0.0432213449,0.0081018519,0.0266410866,0.1428571429,0.0642792428,0.0959713366,0.0594741815,0.0253164557,0.058445331,0.0614035088,0.047405633,0.0035210027,0.0351247026,0.0299676656,0.0862665897,0.1076700605,0.0948754737,0.0655487614,0,0,0,0.048807936,0,0,0,0,0.1189483631,0.2045739061,0.077604547,0.1798052554,0.0670696475,0.097435083,0.2156248672,0.2672840966,3
2707,956177638,0,0.987473904,0.8775510204,0.671875,0.115,0.0626151802,0.0043763676,0.0123653649,0,0,0.264,0.2350414493,0,0,0.1034482759,0.1201734182,0.1989913979,0.2420469353,0,0,0.0102739726,0.0093324322,0.0610687023,0.1127721807,0.0650406504,0.1190636399,0.0107526882,0.0099174824,0.0543478261,0.0388761368,0,0,0,0,0,0,0,0,0.0952380952,0.0287539936,0.0213269637,0.0033164731,0.0253164557,0.0716139277,0.0263157895,0.0493374029,0.0027223991,0.1370456819,0,0.1070048436,0,0.1232714891,0.0906692962,0,0.2242348532,0.1929063821,0.1401300433,0.0387077415,0.0892297432,0,0,0.0298482575,0,0,0.1206482593,0.0821814303,0.2366129331,0.2167906482,0.3835628154,3
2351,604658716,0,0.9039665971,0.7806122449,0.40625,0.215,0.1982599751,0,0,0,0,0.008,0.0076625164,0.0746331618,0.0808695162,0.0459770115,0.0121934697,0.0671226412,0.0439475104,0.0472440945,0.0174376079,0,0,0.1772722646,0.2775430614,0,0,0,0,0,0,0.0104983278,0.0224717419,0.0420383089,0.0217016053,0.0374820586,0.0678510605,0.0023148148,0.0097887462,0.0238095238,0.0023842449,0.5874725415,0.3745576492,0,0,0.0175438596,0.0238766758,0.0046106971,0,0,0.115118292,0.156125988,0.0281425891,0.0488045373,0.0414061414,0,0.1635508819,0,0,0,0.1125388947,0.0488876853,0.1223777987,0.3196571845,0.0997999555,0.0400160064,0,0.1717620901,0.2215642933,0.3065987192,3
3840,430002139,0,0.9060542797,0.8163265306,0.71875,0.135,0.123373191,0,0,0,0,0.0026666667,0.0023941363,0.3764042392,0.2479022357,0.0344827586,0.0966671183,0.2399722549,0.2849283336,0,0,0,0,0.1119592875,0.2558986025,0.0081300813,0.053015547,0.0268817204,0.053175132,0.2065217391,0.2583606938,0,0,0.0610135107,0.059686607,0.0478436197,0.0432213449,0.0086805556,0.0331160479,0.0952380952,0.0856420772,0,0,0.0397341772,0.0704907239,0.0175438596,0.0337287022,0.0045693774,0,0,0.1079053664,0.0948960494,0.2974775902,0.0885053584,0,0,0.2387652374,0.4991663888,0.0830166033,0.1560520173,0,0.092641105,0,0.1595238095,0.0900348226,0.3593437375,0.0515402893,0.2426347971,0.2232688629,0.4507171209,3
4880,937977296,0.1875,0.9394572025,0.8503401361,0.5,0.23,0.279318276,0.0065645514,0.015012937,0,0,0.032,0.0188074129,0.2879866569,0.1531677648,0.0689655172,0.08860588,0.2387896775,0.1581004778,0.0393700787,0.0217677521,0,0,0,0,0.0325203252,0.0420016291,0.0053763441,0.030726257,0.0326086957,0.0453845483,0.0364180602,0.0526386706,0.0011668834,0.0006616928,0.0084033901,0.0118310368,0.0245949074,0.1866620157,0,0,0,0,0.0759493671,0.1712692203,0.1403508772,0.0892091334,0.0060721364,0.1109258642,0,0.0706385843,0.0766332428,0.1363352095,0.0493528904,0.0620258441,0,0,0.0988662888,0.2398479696,0.1736134267,0.0759930959,0.0537009279,0,0.2486105463,0.179114313,0,0.0655140228,0.0802181768,0.2259872476,0.3985038812,3
592,583443353,0,0.9478079332,0.8520408163,0.734375,0.01,0.0063572337,0,0,0,0,0.328,0.2585219089,0,0,0.1034482759,0.1567538274,0.3070152996,0.1088618924,0.031496063,0.0447935867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2192982456,0.4554727041,0.0031786168,0,0,0.0947297557,0,0.1607949413,0.0264308312,0.159545644,0,0,0,0,0,0,0,0,0,0,0,0,0.2621234019,0.2306057386,0.3251568309,3
4135,875452831,0,0.9290187891,0.8401360544,0.765625,0.33875,0.1275589651,0,0,0,0,0.08,0.0402522165,0.1373639567,0.0770850932,0,0,0.2560791872,0.1285915474,0,0,0.0273972603,0.0139596548,0,0,0.0081300813,0.0212133017,0,0,0,0,0.072,0.1888314994,0.0126412367,0.0113830338,0.0068348028,0.0077153326,0,0,0.0476190476,0.0382194459,0.1042675254,0.0515628184,0.0126582278,0.0147953058,0.0087719298,0.0115519839,0.0018827892,0,0,0.0604731679,0.0808574061,0,0.0374311439,0,0.125780762,0,0.1997332444,0,0,0.1378884786,0.0852749182,0.094920304,0.1993333333,0,0.3207282913,0.0339570648,0.1662034464,0.2321647184,0.2705892414,3
4717,569025448,0,0.9248434238,0.8350340136,0.75,0.16,0.1105444363,0.0175054705,0.041142668,0,0,0.0933333333,0.0533111417,0.0108120737,0.0084023202,0.1494252874,0.1745021,0.3070152996,0.1414770259,0.1417322835,0.0970186372,0,0,0.010178117,0.0108547286,0.081300813,0.0395934412,0,0,0.0434782609,0.0249876515,0.0465451505,0.0685829778,0.0045569466,0.0024549761,0.0172305379,0.0113665686,0.0006435185,0.0030957727,0.2619047619,0.2869915598,0.0570567368,0.0269208678,0.0063291139,0.00232387,0.0175438596,0.0367422633,0.0034545136,0.1139963321,0,0.0686505647,0.1119727711,0.1239236061,0.034349535,0.0767912556,0,0.1114076051,0.037279093,0,0.0716905635,0.0774689971,0.0510183237,0.0905635972,0.1164881661,0.1135344225,0.4378842445,0.0106671408,0.2643135075,0.2323315622,0.2950684422,3
3918,522487701,0.1770833333,0.9498956159,0.9081632653,0.96875,0.23375,0.4753353619,0.0743982495,0.2213129551,0.0256410256,0.0351207,0.0026666667,0.0015299427,0.0129796803,0.0114321113,0.1034482759,0.0916542474,0.2601101844,0.328441502,0.0708661417,0.0608560812,0,0,0.096692112,0.1409814755,0.1544715447,0.3559868258,0.0430107527,0.0860540208,0.0326086957,0.0653746695,0.0392976589,0.1035706265,0.0076266888,0.009954161,0.0068348028,0.0071992569,0,0,0,0,0.0781988668,0.1056083597,0.0126582278,0.0049382238,0.0350877193,0.0458215817,0.0101676013,0.1442833886,0.0666355545,0.0689555684,0.1269067267,0.094017094,0.094122972,0.0963364365,0,0.1523120677,0.1764096804,0.0839667934,0.2500833611,0.1385657702,0.1236008573,0.2592205194,0.186,0,0,0.0113338371,0.1648137854,0.2335281615,0.5685100689,3
4843,560558181,0.4479166667,0.5469728601,0.6003401361,0.75,0.01,0.0079715425,0.0175054705,0.0270623985,0.0256410256,0.0052531712,0.008,0.007214416,0.0389390409,0.041042969,0.2183908046,0.1896084541,0.0909674962,0.08389381,0.2204724409,0.256912139,0.4109589041,0.3221725417,0.0203562341,0.0193695158,0.0650406504,0.0654106314,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476,0.0034571551,0,0,0,0,0.0614035088,0.0675733107,0.0039857712,0.0749833278,0.0099669989,0.1083862281,0.1518713012,0.0921299497,0.0687446074,0.1307241113,0.1935248803,0.0993995997,0.0769839947,0,0,0,0,0,0,0,0.0290116046,0,0.1388866831,0.2359192349,0.3345390153,3
