,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,Cluster
2179,449280049,0,0.002087683,0.030612245,0.265625,0.02,0.018228832,0.030634573,0.066956496,0.051282051,0.042482167,0.061333333,0.075421694,0.00324492,0.00708453,0,0,0.106124955,0.201495189,0,0,0.020547945,0.0180583,0.030534351,0.074618135,0.024390244,0.014767858,0.091397849,0.072343806,0,0,0.006688963,0.019432592,0.015253378,0.019524732,0,0,0,0,0,0,0,0,0.050632911,0.038479414,0.052631579,0.077038983,0.004557208,0.106011528,0.040301343,0.147795981,0.314578645,0,0.141527919,0,0.216947741,0.255281299,0.046348783,0.033218408,0,0.152741822,0.121219338,0,0,0,0,0.022078759,0.184732259,0.028234853,1
1564,1009342187,0,0.651356994,0.56462585,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.004198639,0.062992126,0.07428538,0,0,0.020356234,0.077868053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476190476,0.046254351,0,0,0,0,0,0,0,0,0,0,0,0,0.055047455,0.132294706,0,0.399599733,0,0,0,0,0,0,0,0,0.038815526,0,0,0.028261215,0
4005,626356356,0,0,0.081632653,0.75,0.005,0.082272604,0.010940919,0.016381852,0,0,0,0,0,0,0.011494253,0.054125457,0.295644363,0.240164787,0,0,0,0,0.061068702,0.037049074,0.008130081,0.010588944,0.005376344,0.005765978,0,0,0,0,0.167787154,0.189138649,0,0,0,0,0,0,0,0,0,0,0,0,0.082272604,0.072624208,0,0,0,0.499687305,0.060552864,0,0,0.063375584,0.0996999,0.045009002,0,0,0.106751608,0,0,0,0,0,0,0.028272091,2
3412,880467774,0,0.313152401,0.272108844,0.15625,0,0,0,0,0,0,0.008,0.005742086,0,0,0.195402299,0.191031026,0.005685469,0.007094252,0,0,0.308219178,0.167030606,0,0,0.040650407,0.12954634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0.002665842,0,0,0,0.08626659,0,0.103741309,0.093011217,0,0.1337775,0,0.243947983,0,0,0,0,0,0,0,0,0,0.038354641,0.028336464,1
4602,1059788438,0.260416667,0,0.042517007,0,0,0,0,0,0,0,0,0,0.105459903,0.08041899,0.057471264,0.064151199,0.158880418,0.224502152,0.007874016,0.023376927,0,0,0.152671756,0.158856029,0,0,0.048387097,0.034672749,0,0,0.013377926,0.066651695,0,0,0.040725173,0.065760954,0,0,0.023809524,0.030971341,0,0,0,0,0,0,0,0,0,0,0.109873622,0.118449031,0.105328305,0.33305544,0,0.108694685,0,0.030072681,0,0.261943987,0,0,0.285138877,0,0.519807923,0,0,0.028396595,5
2397,652675661,0,0,0.074829932,0.6875,0.095,0.072358177,0.159737418,0.156372225,0,0,0,0,0,0,0.011494253,0.00677415,0.056854685,0.077918317,0,0,0.061643836,0.048802468,0.020356234,0.048683783,0.016260163,0.017636434,0.021505376,0.021680078,0,0,0.00473913,0.012710532,0,0,0,0,0.00462963,0.030521703,0,0,0.015405177,0.024864284,0.012658228,0.013923855,0.087719298,0.326082757,0.003808325,0.047481581,0,0,0,0.062539087,0.102157032,0,0.19543341,0.249833222,0.083027676,0.042308462,0,0.141010388,0,0.30979957,0,0.155590131,0,0.031956976,0.469149528,0.028400171,2
2250,504021916,0.28125,0,0.05952381,0.125,0.02,0.024657495,0.019693654,0.021586738,0.051282051,0.082100566,0,0,0,0,0.08045977,0.050941607,0.028427343,0.022835858,0.023622047,0.018929752,0,0,0.030534351,0.034319142,0,0,0.032258065,0.134923889,0,0,0,0,0,0,0,0,0,0,0,0,0.25236907,0.08137402,0.012658228,0.006564933,0.01754386,0.00629757,0.006164374,0.05316587,0.07788593,0,0,0.067184848,0.059879206,0.089898569,0,0.117411608,0,0.175535107,0,0,0,0.0618901,0,0,0,0.015067336,0.045302946,0.028442422,5
4777,909538266,0,0.918580376,0.797619048,0.453125,0.04625,0.035471935,0.008752735,0.007325952,0,0,0.016,0.003572,0.00324492,0.001407895,0.126436782,0.089215553,0.065223695,0.062861129,0,0,0,0,0.050890585,0.038609035,0.048780488,0.027198357,0,0,0.010869565,0.005723916,0.026197324,0.033954637,0.013983534,0.019054834,0.014523956,0.015133922,0.000965278,0.002725152,0.023809524,0.001192122,0.045810318,0.023937895,0.012658228,0.009663426,0.070175439,0.093884017,0.003834804,0.040596866,0,0.026832083,0.062515629,0.074876343,0.071840896,0,0,0.079252835,0.042680894,0,0.065688563,0.068144089,0.12904497,0.100298442,0.184,0.066628182,0.020008003,0.022178764,0.168843802,0.028502421,4
4167,913629440,0,0.908141962,0.739795918,0,0.07,0.021971742,0,0,0,0,0.064,0.064929744,0.171980764,0.094621839,0.114942529,0.041051348,0.051169217,0.017952802,0.05511811,0.027385237,0.006849315,0.005181796,0,0,0,0,0,0,0,0,0,0,0.015466925,0.014844934,0.009397854,0.008631367,0,0,0,0,0,0,0.012658228,0.013923855,0.00877193,0.003824904,0.00156941,0,0,0.121934507,0.079274536,0.037898687,0.026152814,0.05573751,0.186758276,0,0,0,0,0,0.090892309,0,0.162181818,0,0,0.031956976,0.055030573,0.028547851,0
4273,1059267797,0.322916667,0.308977035,0.319727891,0.140625,0,0,0,0,0,0,0,0,0,0,0.034482759,0.017409565,0,0,0.007874016,0.008748062,0,0,0.020356234,0.01481963,0,0,0,0,0.5,0.404335067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0.00923386,0,0,0,0,0,0.053575151,0,0.124635265,0,0.0760507,0,0,0.100874204,0,0,0,0,0,0,0,0.132851584,0.028574247,5
1543,1004284244,0,0.561586639,0.457482993,0,0,0,0,0,0.025641026,0.006324888,0.008,0.002426143,0,0,0.011494253,0.008061238,0.005685469,0.029166722,0.023622047,0.04965037,0,0,0,0,0.040650407,0.088359245,0,0,0.423913043,0.553098759,0,0,0,0,0,0,0,0,0.023809524,0.002384245,0,0,0,0,0.00877193,0.008074798,0,0,0.0120004,0.036449317,0,0.074421513,0.382398619,0.235792691,0,0,0.166388796,0,0.162755106,0,0,0,0,0,0.040016006,0,0.116175653,0.028579385,0
2599,867074957,0.1875,0,0.034013605,0.03125,0.04,0.043429192,0,0,0,0,0,0,0.105648108,0.067928141,0,0,0.147111498,0.207628624,0.102362205,0.099095936,0,0,0.050890585,0.063633409,0.008130081,0.010588944,0,0,0.010869565,0.006653689,0,0,0,0,0.017087007,0.020617227,0,0,0.023809524,0.022864909,0,0,0.075949367,0.12479182,0.00877193,0.03936947,0.005428649,0,0,0,0.092642486,0,0.105204803,0.108602944,0,0.130620414,0.0996999,0,0.076358786,0,0,0,0.213066667,0,0.383753501,0.047735455,0.566425792,0.028677143,5
3820,402780191,0,0.941544885,0.843537415,0.703125,0.005,0.003128616,0,0,0,0,0,0,0.113572203,0.047530551,0.034482759,0.054125457,0.176249524,0.122181713,0.023622047,0.043213669,0.003424658,0.000727878,0,0,0.024390244,0.011049332,0.010752688,0.042847624,0,0,0.02173913,0.088464705,0.011440033,0.025288172,0.004271752,0.003625432,0,0,0.119047619,0.045229126,0,0,0.012658228,0.006758589,0.01754386,0.020785844,0.003128616,0,0,0,0.060300789,0.166562435,0.051674135,0.205224399,0.052467208,0,0.034678226,0.167233447,0,0.213950794,0.209335556,0,0.149866667,0,0.151820728,0.015511801,0.149527515,0.02869615,4
2193,458279932,0,0,0.003401361,0.03125,0,0,0.054704595,0.017780853,0,0,0,0,0,0,0.114942529,0.092805853,0.238789677,0.160943443,0.007874016,0.009333216,0,0,0.010178117,0.010334742,0.081300813,0.010270213,0.02688172,0.092640049,0.02173913,0.010401836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0.055944056,0,0.015765255,0,0,0,0.085678549,0.050240355,0.132972072,0,0.106070714,0.00966989,0.144628926,0.059686562,0,0,0,0,0,0,0,0.402445803,0.028697723,1
2761,990780462,0,0.939457203,0.80952381,0.40625,0.02,0.017328819,0,0,0,0,0,0,0.032449201,0.009517373,0.057471264,0.041728763,0.147822181,0.09833239,0.062992126,0.034582638,0,0,0.030534351,0.035229119,0.178861789,0.04083295,0,0,0.010869565,0.008687567,0.005016722,0.012710532,0,0,0,0,0.002314815,0.02831978,0,0,0,0,0,0,0.026315789,0.015338253,0.004332205,0,0,0,0.042260565,0.077048155,0.049585186,0.061588162,0,0.120524794,0.017475522,0,0.0996999,0.133207814,0,0,0,0.288730829,0,0,0.073559385,0.02873239,4
4039,687619296,0,0,0.081632653,0.75,0.05,0.046957814,0,0,0,0,0,0,0.056150097,0.028563383,0.011494253,0.016935375,0.038138123,0.023730866,0.007874016,0.002896515,0.003424658,0.002070985,0.040712468,0.034839129,0,0,0,0,0,0,0,0,0.01271369,0.013885959,0.093790582,0.109911235,0,0,0,0,0.300354738,0.08496841,0.030240506,0.016344552,0.026315789,0.044701155,0.004695781,0,0,0,0.073296179,0.156347717,0.046381974,0.041267195,0.149281699,0.089392929,0,0,0,0,0.103432517,0.054299339,0.206935082,0,0,0.015702293,0.214378358,0.028870917,2
