CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster
40780165,7,184,221,30,12,28.39,18,26.33,0,0,0,0,0.5,1.5,6,5.5,3.945,3.82,3,4.37,11,19.37,0,0,3,1.5,0,0,0,0,1,0.99,0,0,0,0,0,0,1,0.5,27.75,93.93,0,0,1,1.99,2.365833333,1.462777778,0,0,3,0.916666667,0.968314322,1.456666667,1.760909091,0,0.5,0,0,0.99,0,3.384864865,0,0,0.5,0,1.99,188.19,8.961428571,1
135938884,0,0,36,36,2,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.75,0,0,4,12.57,0,0,0,0,0,0,2,14.98,0,0,2.005,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,3.1425,0,0,7.49,0,33.31,1.586190476,1
152044061,0,457,505,48,18,193.32,0,0,1,8.92,26,105.08,33.653,148.16,5,7.4,2,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,70.97,0,0,0,0,0,0,10.74,0,8.92,4.041538462,4.402579265,1.48,0.315,0,0,0,0,0,0,0,0,0,0,0,6.451818182,0,0,534.48,25.45142857,1
161644067,0,0,38,38,1,2.29,0,0,0,0,13,73.39,0,0,0,0,0,0,0,0,4,14.46,0,0,0,0,0,0,0,0,0,0,0,0,2.625,7.32,0,0,0,0,0,0,0,0,0,0,2.29,0,0,5.645384615,0,0,0,0,3.615,0,0,0,0,0,0,0,2.788571429,0,0,0,0,97.46,4.640952381,1
171171044,0,0,39,39,11,24.24,0,0,0,0,0,0,13.125,38.67,1,1,6,36.55,0,0,2,3.18,0,0,0,0,1,3.14,0,0,5.833,10.43,4.5,16.18,5,43.56,0.667,0.83,0,0,0,0,0,0,1,2.74,2.203636364,0,0,0,2.946285714,1,6.091666667,0,1.59,0,0,3.14,0,1.788102177,3.595555556,0,8.712,1.244377811,0,0,2.74,180.52,8.596190476,1
172661340,0,0,49,49,59,150.48,50,140.48,4,35.24,12,61.72,12.917,63.46,19,32.23,87.458,440.16,16,43.69,1,1.19,15.75,26.37,13,42.47,6,13.39,24,72.04,0,0,18.5,56.99,3,11.88,1.5,2.59,5,65.59,8.625,45.32,0,0,22,30.58,2.550508475,2.8096,8.81,5.143333333,4.912905473,1.69631579,5.032815752,2.730625,1.19,1.674285714,3.266923077,2.231666667,3.001666667,0,3.080540541,5.254492754,3.96,1.726666667,13.118,0,1.39,1335.87,63.61285714,1
197582794,0,0,48,48,15,71.08,3,9.07,0,0,30,44.75,8,45.63,12,21.83,18,66.39,4,12.59,20,33.4,0,0,7,24.2,1,4.75,1,2.99,21.619,83.42,0,0,20.306,75.34,3,13.99,11,11.99,0,0,2.806,35.59,4,1.52,4.738666667,3.023333333,0,1.491666667,5.70375,1.819166667,3.688333333,3.1475,1.67,0,3.457142857,4.75,2.99,3.85864286,0,0,3.710233429,4.663333333,1.09,12.68353528,0.38,558.53,26.59666667,1
199955402,0,0,21,21,6,25.34,23,116.03,0,0,0,0,0,0,5,32.46,34,120.46,5,9.99,66,243.4,10,16.46,64,276.48,1,4.79,1,2.79,0,0,0,0,0,0,9,44.71,2,2,0,0,0,0,25,82.85,4.223333333,5.044782609,0,0,0,6.492,3.542941177,1.998,3.687878788,1.646,4.32,4.79,2.79,0,0,0,0,4.967777778,1,0,3.314,977.76,46.56,1
210707220,0,0,50,50,23,74.13,1,0.5,0,0,34,104.34,14.361,67.78,14,25.47,29,129.25,33,47.77,0,0,1,3.49,5,12.65,4,3.89,0,0,1,3.24,0.083,0.2,1.25,3.15,3.528,19.06,1,7.99,0,0,0,0,7,15.91,3.223043478,0.5,0,3.068823529,4.719727039,1.819285714,4.456896552,1.447575758,0,3.49,2.53,0.9725,0,3.24,2.409638554,0,2.52,5.402494331,7.99,0,2.272857143,518.82,24.70571429,1
213148661,0,446,493,47,17,34.84,0,0,0,0,9,37.01,5,19.46,5,6.39,12,38.7,1,1,5,20.35,2,2.68,0,0,0,0,3,8.17,0,0,1.5,9.99,3.25,16.24,0.5,4.12,2,8.38,0,0,1,6.49,4,15.66,2.049411765,0,0,4.112222222,3.892,1.278,3.225,1,4.07,1.34,0,0,2.723333333,0,6.66,0,4.996923077,8.24,4.19,6.49,3.915,229.48,10.92761905,1
