CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster
181250986,0,60,114,54,84,97.08,0,0,0,0,0,0,26.202,95.44,11,8.2,59.597,59.27,0,0,4,7.96,11,16.76,0,0,0,0,0,0,43.917,167.31,3,12.73,22.028,49.35,0,0,2,2,88.668,246.31,0,0,0,0,1.155714286,0,0,0,3.642470041,0.745454546,0.994513147,0,1.99,1.523636364,0,0,0,3.809686454,4.243333333,2.777890558,2.240330489,0,1,0,0,762.41,36.3052381,4
197754799,0,439,487,48,22.556,39.12,0,0,0,0,0,0,36.327,220.34,2,1.5,32.459,98.65,3,16.97,0,0,5,12.04,4,4.58,2,4.98,0,0,0,0,3,15.58,0,0,0,0,0,0,0.75,5.5,1,14.99,2,7.4,1.734350062,0,0,0,6.065460952,0.75,3.039218707,5.656666667,0,2.408,1.145,2.49,0,0,5.193333333,7.333333333,0,0,0,14.99,3.7,441.65,21.03095238,4
212067540,0,0,47,47,11,87.12,0,0,0,0,11,58.95,0,0,4,8.87,8,34.04,0,0,1,2.39,0,0,0,0,0,0,0,0,3,30,0.75,2.62,0,0,0,0,1,5.99,0.25,1,0,0,0,0,7.92,0,0,5.359090909,0,2.2175,4.255,0,2.39,0,0,0,0,10,3.493333333,4,0,0,5.99,0,0,230.98,10.99904762,4
227817616,0,0,44,44,3,24.47,0,0,0,0,0,0,0,0,0,0,28,31.67,0,0,0,0,0,0,0,0,2,15.49,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,1,1.99,8.156666667,0,0,0,0,0,1.131071429,0,0,0,0,7.745,0,0,0,0,0,0,0.6,0,1.99,74.22,3.534285714,4
238066187,0,0,46,46,34,111.24,0,0,0,0,39,29.24,3.972,10.82,0,0,5.473,33.41,0,0,1,1.59,7,12.33,2,9.08,5,16.91,0,0,14.667,45.21,2,18.18,13.945,55.38,7,89.45,0,0,0,0,12,77.82,0,0,3.271764706,0,0,0.74974359,2.724068479,0,6.104513064,0,1.59,1.761428571,4.54,3.382,0,3.082429945,9.09,0,3.971315884,12.77857143,0,6.485,0,510.66,24.31714286,4
256169780,0,430,484,54,45,122.88,1,0.54,0,0,37,180.42,32.75,119.64,1,5.39,18.5,56.03,1,2.02,4,6.98,12.5,23.32,0,0,3,10.87,0,0,12.75,86.77,0,0,2,10.07,4.5,28.31,3,23.57,1.25,8.27,5,25.35,0,0,2.730666667,0.54,0,4.876216216,3.653129771,5.39,3.028648649,2.02,1.745,1.8656,0,3.623333333,0,6.805490196,0,6.616,5.035,6.291111111,7.856666667,5.07,0,710.43,33.83,4
267638088,91,0,126,35,4,92.8,22,13.38,1,6.38,2,1.08,12.39,50.35,21,30.09,108.861,470.26,1,2.55,5,16.63,2,3.98,6,21.81,0,0,0,0,7.749,22.7,3.063,7.98,0,0,5.5,21.7,0,0,18.945,65.81,4,34.24,68,28.91,23.2,0.608181818,6.38,0.54,4.063761098,1.432857143,4.319820689,2.55,3.326,1.99,3.635,0,0,2.929410247,2.605288932,3.473739773,0,3.945454546,0,8.56,0.425147059,890.65,42.41190476,4
275120947,0,0,46,46,20,63.42,0,0,0,0,22,177.78,6.5,33.91,10,14.68,12,46.77,2,11.96,0,0,0,0,0,0,0,0,5,17.88,3.875,20.62,1.5,6.24,0,0,0,0,1,2.98,1.306,3.75,1,35.99,1,3.59,3.171,0,0,8.080909091,5.216923077,1.468,3.8975,5.98,0,0,0,0,3.576,5.321290323,4.16,2.87136294,0,0,2.98,35.99,3.59,439.57,20.93190476,4
312440746,0,0,8,8,3,21.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.99,0,0,7.123333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99,0,30.36,1.445714286,4
318229192,0,0,49,49,42,93.24,0,0,1,2.99,0,0,8.166,45.27,2,1.74,30,59.26,1,0.99,9,29.05,0,0,1,1.09,0,0,0,0,13.792,61.83,1,5.39,42.792,89.86,0,0,0,0,1,3.59,3,19.17,6,20.04,2.22,0,2.99,0,5.543717855,0.87,1.975333333,0.99,3.227777778,0,1.09,0,0,4.483033643,5.39,3.59,2.09992522,0,0,6.39,3.34,433.51,20.64333333,4
