CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster,,
258446301,0,0,40,40,0,0,6,9.98,0,0,0,0,0,0,3,6,9,15.14,2,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,1,2.4,0,1.663333333,0,0,0,2,1.682222222,1.01,0,0,0,0,0,0,0,0,0,0,0.6,0,2.4,36.14,1.720952381,5,,
264612722,0,0,44,44,0,0,0,0,0,0,2,5.48,0,0,3,9.95,1,29.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.99,0,0,0,0,0,0,0,0,0,0,1,1.6,0,0,0,2.74,0,3.316666667,29.99,0,0,0,0,0,0,0,14.99,0,0,0,0,0,1.6,62.01,2.952857143,5,,
266449701,0,0,49,49,12,25.98,0,0,0,0,0,0,2.083,18.86,8,16.76,5.723,24.93,0,0,0,0,4,5.83,0,0,0,0,4,11.49,7.166,20.32,1.75,10.49,8.139,42.65,7.472,67.04,0,0,0,0,2,13.78,1,3.59,2.165,0,0,0,9.05424868,2.095,4.356106937,0,0,1.4575,0,0,2.8725,2.835612615,5.994285714,0,5.240201499,8.972162741,0,6.89,3.59,261.72,12.46285714,5,,
266648773,0,0,46,46,0,0,0,0,0,0,13,74.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.48,0,0,1,4.49,0,0,0,0,0,5.764615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,4.49,0,84.91,4.043333333,5,,
272303470,0,0,34,34,7,12.89,0,0,0,0,0,0,0,0,0,0,1,1.19,1,0.8,9,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,1,2.24,1.841428571,0,0,0,0,0,1.19,0.8,2.28,0,0,0,0,0,0,0,0,4.5,0,0,2.24,42.14,2.006666667,5,,
273570580,0,0,53,53,8,21.79,1,5.99,0,0,11,75.09,1,12.99,7,10.45,17,98.43,11,22.97,3,7.17,3,3.49,1,6.99,18,57.62,3,11.77,3.875,39.49,1,14.99,0,0,0,0,37,375.04,4.5,38.21,0,0,4,13.96,2.72375,5.99,0,6.826363636,12.99,1.492857143,5.79,2.088181818,2.39,1.163333333,6.99,3.201111111,3.923333333,10.19096774,14.99,8.491111111,0,0,10.13621622,0,3.49,816.44,38.87809524,5,,
273980045,0,0,40,40,8,28.85,0,0,0,0,0,0,0,0,0,0,2.333,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60625,0,0,0,0,0,2.490355765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.66,1.650476191,5,,
300667797,0,0,47,47,6,26.32,0,0,0,0,0,0,1.5,12,2,5.58,10,41.57,0,0,0,0,1,5.99,2,9.58,3,2.37,0,0,0,0,1.5,13.49,0,0,0.25,2.37,0,0,20.125,55.13,0,0,0,0,4.386666667,0,0,0,8,2.79,4.157,0,0,5.99,4.79,0.79,0,0,8.993333333,2.739378882,0,9.48,0,0,0,174.4,8.304761905,5,,
304432172,0,453,498,45,1,22.19,0,0,0,0,6,14.49,1,3.49,3,4.29,3,9.03,0,0,0,0,0,0,3,8.97,0,0,1,5.99,8,28.72,0,0,0,0,0,0,1,5.56,0,0,1,15.59,0,0,22.19,0,0,2.415,3.49,1.43,3.01,0,0,0,2.99,0,5.99,3.59,0,0,0,0,5.56,15.59,0,118.32,5.634285714,5,,
307216994,0,218,263,45,26,68.42,0,0,0,0,0,0,6.333,27.48,0,0,15,42.45,0,0,0,0,0,0,0,0,0,0,0,0,55.264,194.54,0,0,0,0,1,7.79,0,0,1.889,9.19,0,0,0,0,2.631538462,0,0,0,4.339175746,0,2.83,0,0,0,0,0,0,3.520193978,0,4.865007941,0,7.79,0,0,0,349.87,16.66047619,5,,
309852242,0,0,19,19,2,8.98,0,0,0,0,5,3.59,5,9.95,0,0,1,1.99,1,12.99,12,34.44,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3.99,4.49,0,0,0.718,1.99,0,1.99,12.99,2.87,0,0,0,0,5,0,0,0,0,0,0,0.798,80.93,3.853809524,5,,
317229953,0,0,44,44,4,26.41,0,0,0,0,0,0,1,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,49.34,0,0,0,0,0,0,0,0,0,0,0,0,1,2.09,6.6025,0,0,0,2.49,0,0,0,0,0,0,0,0,7.048571429,0,0,0,0,0,0,2.09,80.33,3.825238095,5,,
317853596,0,5,24,19,0,0,0,0,0,0,0,0,0,0,0,0,3,16.47,0,0,0,0,0,0,0,0,1,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,0,8.99,0,0,0,0,0,0,0,0,0,25.46,1.212380952,5,,
318175726,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.388,85.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.882466904,0,0,0,85.26,4.06,5,,
318951076,0,0,56,56,42.777,178.35,40,54.86,3,54.76,13,13.2,57.582,204.4,74,147.62,108.5,293.84,11,17.72,1,2.88,16,10.15,4,9.02,1,0.95,18,49.99,34.821,129.8,56.068,216.92,25.389,51.98,31.917,44.98,42,26.33,13.972,37.49,1,1,23,20.48,4.169296585,1.3715,18.25333333,1.015384615,3.549720399,1.994864865,2.708202765,1.610909091,2.88,0.634375,2.255,0.95,2.777222222,3.727635622,3.868873511,2.68322359,2.047343338,1.409280321,0.626904762,1,0.890434783,1566.72,74.60571429,5,,
319077988,0,0,17,17,9,22.78,0,0,0,0,0,0,9.472,27.64,1,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.531111111,0,0,0,2.918074324,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.31,2.871904762,5,,
325948750,0,0,10,10,0,0,0,0,0,0,0,0,3.639,12.81,2,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.520197857,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39,0.732857143,5,,
326060332,0,0,24,24,3,7.93,0,0,0,0,9,41.21,0,0,0,0,12,25.12,0,0,7,10.99,0,0,4,2.48,0,0,2,3.39,1,4.26,0,0,0,0,4,11.98,0,0,0,0,0,0,4,11.96,2.643333333,0,0,4.578888889,0,0,2.093333333,0,1.57,0,0.62,0,1.695,4.26,0,0,0,2.995,0,0,2.99,119.32,5.681904762,5,,
335284964,0,412,450,38,3,23.17,0,0,0,0,0,0,0,0,2,1.5,0.278,0.48,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472,0.71,0,0,0,0,7.723333333,0,0,0,0,0.75,1.726618705,0.75,0,0,0,0,0,0,0,1.504237288,0,0,0,0,0,26.61,1.267142857,5,,
347798548,0,0,35,35,2,5.94,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0.378095238,5,,
356469668,85,170,284,29,4,5.07,0,0,0,0,0,0,0,0,0,0,6.5,22.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2675,0,0,0,0,0,3.456923077,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,28.03,1.334761905,5,,
356612994,0,0,50,50,1,5.24,32,67.11,1,5.09,15,5.9,4,3.36,5,15.91,16,90.08,0,0,1,6.79,1,3.59,11,9.24,0,0,0,0,0,0,0,0,0,0,0,0,1,7.99,0,0,1,4.27,2,1.71,5.24,2.0971875,5.09,0.393333333,0.84,3.182,5.63,0,6.79,3.59,0.84,0,0,0,0,0,0,0,7.99,4.27,0.855,226.28,10.7752381,5,,
357079706,95,240,335,0,2,5.23,45,104.56,6,51.18,0,0,9.084,39.83,5,16.48,40.625,129.21,3,6.13,9,42.04,8,14.12,13,42.13,1,1.07,2,7.6,0,0,0,0,0,0,3,29.97,0,0,0,0,1,7.19,7,16.08,2.615,2.323555556,8.53,0,4.384632321,3.296,3.180553846,2.043333333,4.671111111,1.765,3.240769231,1.07,3.8,0,0,0,0,9.99,0,7.19,2.297142857,512.82,24.42,5,,
357326065,0,464,515,51,55,150.3,178,79.37,1,8.79,30,92.89,7.75,41.17,6,19.61,30,172.53,11,36.49,10,33.06,0,0,1,2.99,0,0,1,1.79,6.5,22.63,1,14.99,2.5,14.98,2.5,16.49,5,19.11,29.472,116.52,2,15.58,23,22.28,2.732727273,0.445898876,8.79,3.096333333,5.312258065,3.268333333,5.751,3.317272727,3.306,0,2.99,0,1.79,3.481538462,14.99,3.953583062,5.992,6.596,3.822,7.79,0.968695652,881.57,41.97952381,5,,
359200177,0,454,492,38,1,2.99,0,0,0,0,0,0,0,0,1,0.8,11,59.34,0,0,0,0,0,0,0,0,2,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0.8,5.394545455,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,70.79,3.370952381,5,,
359502598,0,437,476,39,0,0,23,24.73,0,0,0,0,0,0,3,6.36,15,53.34,0,0,0,0,8,19.52,3,20.37,0,0,0,0,0,0,1,8.99,0,0,0,0,0,0,0,0,1,4.49,11,29.97,0,1.075217391,0,0,0,2.12,3.556,0,0,2.44,6.79,0,0,0,8.99,0,0,0,0,4.49,2.724545455,167.77,7.989047619,5,,
361702947,96,0,113,17,2,11.97,1,0.5,0,0,0,0,0,0,0,0,0,0,17,85.72,2,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.985,0.5,0,0,0,0,0,5.042352941,1.99,0,0,0,0,0,0,0,0,0,0,0,0,102.17,4.865238095,5,,
365965631,0,444,490,46,4,9.06,1,7.49,0,0,0,0,0.361,0.92,5,11.45,20,79.18,0,0,0,0,12,17.5,3,8.97,0,0,0,0,4.222,17.25,0,0,3.569,19.68,0,0,0,0,0,0,2.028,28.42,2,13.18,2.265,7.49,0,0,2.548476454,2.29,3.959,0,0,1.458333333,2.99,0,0,4.085741355,0,0,5.514149622,0,0,14.01380671,6.59,213.1,10.14761905,5,,
369029921,0,0,7,7,0,0,2,0.94,0,0,0,0,12.778,65.56,1,2.49,0,0,2,17.98,0,0,2,1.49,3,1.79,0,0,0,0,2,7.99,0,0,0,0,0,0,0,0,0,0,0,0,15,53.05,0,0.47,0,0,5.130693379,2.49,0,8.99,0,0.745,0.596666667,0,0,3.995,0,0,0,0,0,0,3.536666667,151.29,7.204285714,5,,
369235965,0,411,419,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.982035928,0,0,0,1.5,0.071428571,5,,
371420613,0,0,5,5,5,9.96,0,0,0,0,2,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,11.65,0,0,0,0,0,0,0,0,1.992,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,8.739684921,0,0,0,31.55,1.502380952,5,,
374555829,0,0,14,14,1,699.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.99,33.33285714,5,,
375653045,0,0,31,31,3,6.53,0,0,0,0,0,0,0,0,0,0,1,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833,19.98,0,0,0,0,0,0,0,0,2.176666667,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,10.90016367,0,0,0,28.5,1.357142857,5,,
377368303,0,0,21,21,1,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,42.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,8.869473684,0,0,0,0,0,0,0,45.12,2.148571429,5,,
377784483,0,0,48,48,7,20.34,0,0,0,0,9,25.33,0,0,0,0,11,91.75,1,2.99,1,0.89,0,0,0,0,11,33.91,0,0,7.5,49.15,2,9.59,0,0,0,0,0,0,0,0,0,0,3,2.57,2.905714286,0,0,2.814444444,0,0,8.340909091,2.99,0.89,0,0,3.082727273,0,6.553333333,4.795,0,0,0,0,0,0.856666667,236.52,11.26285714,5,,
381134105,0,20,68,48,16,31.44,2,23.98,3,19.77,1,4.2,0,0,0,0,10,118.38,0,0,4,5.06,1,1.03,0,0,3,14.03,1,15.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.62,1.965,11.99,6.59,4.2,0,0,11.838,0,1.265,1.03,0,4.676666667,15.99,0,0,0,0,0,0,0,1.436666667,242.5,11.54761905,5,,
384375929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.65,0,0,0,0,0,0,0,0,1,24.3,0,0,0,0,0,0,0,0,1.5,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1625,0,0,0,0,24.3,0,0,0,0,0,8.993333333,0,0,0,46.44,2.211428571,5,,
385041579,0,0,18,18,17,205.56,3,11.77,0,0,0,0,62.945,348.65,0,0,6,9.7,0,0,0,0,0,0,0,0,0,0,0,0,7,9.62,0,0,30.417,118.04,4,40.96,2,13.98,0,0,8,83.92,2,9.08,12.09176471,3.923333333,0,0,5.538962586,0,1.616666667,0,0,0,0,0,0,1.374285714,0,0,3.880724595,10.24,6.99,10.49,4.54,851.28,40.53714286,5,,
390674075,0,0,20,20,1,5.39,6,41.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.21,2.248095238,5,,
392241014,0,222,269,47,0,0,1,0.59,0,0,0,0,0,0,0,0,6.333,20.04,0,0,7,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,3.164377073,0,2.461428571,0,0,0,0,0,0,0,0,0,0,0,0,37.86,1.802857143,5,,
394165500,0,433,439,6,2,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0.208571429,5,,
