CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster
1000140358,0,180,180,0,22,81.45,1,1.99,5,37.51,14,38.76,84.999,227.57,6,5.54,7.667,66.37,0,0,14,47.41,4,8.97,2,6.38,0,0,16,66.62,4,26.49,5.5,24.07,12.375,42.93,0,0,5,51.55,1,0.99,1,89.99,2,6.18,3.702272727,1.99,7.502,2.768571429,2.677325616,0.923333333,8.656580149,0,3.386428571,2.2425,3.19,0,4.16375,6.6225,4.376363636,0.99,3.469090909,0,10.31,89.99,3.09,830.77,39.56047619,2
1000277499,0,0,22,22,2,6.58,0,0,0,0,4,1.6,0,0,1,4.29,2,3.48,1,4.79,0,0,0,0,0,0,0,0,0,0,0,0,5,37.46,0,0,7,35.95,0,0,0,0,1,2.09,0,0,3.29,0,0,0.4,0,4.29,1.74,4.79,0,0,0,0,0,0,7.492,0,0,5.135714286,0,2.09,0,96.24,4.582857143,2
1000848299,0,431,452,21,8,33.22,3,7.48,0,0,4,10.84,71.154,251.56,10,26.86,19,50.37,10,25.55,6,20.84,0,0,0,0,0,0,0,0,1.358,28.5,4,24.57,11.944,32.82,3,16.98,3,17.94,5,23.97,1,16.24,0,0,4.1525,2.493333333,0,2.71,3.535430194,2.686,2.651052632,2.555,3.473333333,0,0,0,0,20.98674521,6.1425,4.794,2.747823175,5.66,5.98,16.24,0,587.74,27.98761905,2
1001435229,0,409,409,0,4,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.41,0.733809524,2
1001887635,0,417,417,0,3,5,0,0,0,0,0,0,0.75,5.77,2,1.74,3,13.95,0,0,0,0,2,4.68,0,0,0,0,0,0,0,0,3.667,13.55,0,0,0,0,1,4.99,2,1.54,2,12.97,0,0,1.666666667,0,0,0,7.693333333,0.87,4.65,0,0,2.34,0,0,0,0,3.695118626,0.77,0,0,4.99,6.485,0,64.19,3.056666667,2
1002544128,0,242,242,0,1,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.33,0,0,0,0,0,0,0,0,0,0,4,7.96,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0.665,0,0,0,0,0,0,1.99,0,0,0,0,10.87,0.517619048,2
1002792016,0,0,10,10,3,8.27,0,0,0,0,0,0,3,10.48,3,3,7,21.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.756666667,0,0,0,3.493333333,1,3.118571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.58,2.075238095,2
1002809331,0,398,405,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.465,0,0,0,0,0,0,0,0,33.86,1.612380952,2
1003073960,60,170,248,18,0,0,0,0,0,0,0,0,0,0,0,0,2,2.68,0,0,0,0,0,0,0,0,1,5.39,2,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,5.39,3.53,0,0,0,0,0,0,0,0,15.13,0.720476191,2
1003227426,0,14,14,0,7,17.98,0,0,0,0,2,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.568571429,0,0,3.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.61,1.171904762,2
