CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_ns,paper_ns,pct_ns,needle_ns,quilt_ns,impulse_ns,other_ns,kids_ns,jewelry_ns,ribbon_ns,paint_ns,seasfloral_ns,celeb_ns,fabric_ns,fleece_ns,warm_ns,homedec_ns,public_ns,special_ns,foam_ns,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,sew_qty,paper_qty,pct_qty,needle_qty,quilt_qty,impulse_qty,other_qty,kids_qty,jewelry_qty,ribbon_qty,paint_qty,seasfloral_qty,celeb_qty,fabric_qty,fleece_qty,warm_qty,homedec_qty,public_qty,special_qty,foam_qty,bccomp_qty,products_bought,product_share
888717972,0,0,25,25,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,31.05,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,6.21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0.095238095
889003505,0,0,5,5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.047619048
889398442,0,2,25,23,0,4.24,0,0,0,0,9.44,0.85,0,1.78,0,0,0,0,0,0,0,0,0,0,2.12,0,4.24,0,0,0,0,1.888,0.85,0,0.89,0,0,0,0,0,0,0,0,0,0,2.12,0,1,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0.238095238
889702361,0,0,13,13,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62139219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.047619048
890752793,0,0,13,13,7.64,4.57,0,0,38.64,0,0,0,0,0,27.57,0,0,0,0,0,0,0,0,0,0,7.64,2.285,0,0,7.025454546,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0.19047619
892997479,0,0,17,17,0,0,0,0,7.98,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,1.2475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.095238095
893221077,0,121,148,27,0,0,0,0,0,1.39,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0.095238095
894956432,0,233,248,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.73,0,0,11.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.97333333,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,2,0,2,0.095238095
897904124,0,0,7,7,13.89,0,4.04,2.69,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,4.04,2.69,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.19047619
899824437,0,143,153,10,0,0,0,0,0,1.16,0,0,0,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,1.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0.095238095
899924328,0,402,409,7,0,39.99,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.712857143,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.095238095
899955736,0,0,17,17,0,0,0,0,1.62,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.095238095
901243683,0,204,204,0,0,0,0,0,4.19,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.095238095
901677336,0,419,420,1,0,0,0,0,0,0,3.99,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0.095238095
902014448,0,424,424,0,0,0,0,0,0,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.095238095
902505122,0,0,1,1,35.35,0,0,0,0,2.29,16.23,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,3.927777778,0,0,0,0,1.145,7.213333333,0,0,0,0,0,0,0,4.488,0,0,0,0,0,0,9,0,0,0,0,2,2.25,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,4,0.19047619
902838861,0,0,0,0,8.39,0,0,109.88,0,0,40.94,0,0,0,0,51.29,0,0,0,0,0,0,0,0,0,8.39,0,0,5.494,0,0,5.848571429,0,0,0,0,4.662727273,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0.19047619
903187730,0,297,316,19,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.095238095
903365344,0,428,446,18,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,12.74,0,0,0,0,0,5.48,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,12.74,0,0,0,0,0,2.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0.142857143
903559847,0,0,0,0,13.96,0,0,190.95,0,0,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,2.47987013,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,77,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.142857143
903816015,18,436,474,20,4.79,3.35,0,0,13,0,0,0,0,0,3.19,0,0,0,0,9.99,0,0,0,0,0,4.79,1.675,0,0,6.5,0,0,0,0,0,3.19,0,0,0,0,0,4.995,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0.238095238
903906816,18,453,496,25,61.27,0,0,8.23,2.39,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.752857143,0,0,4.115,2.39,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.19047619
