,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,net_sales,sum,mean_price,Cluster
4503,946753654,0.90625,0,0.147959184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.011832528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155133736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.004019499,0.001062699,0.012843041,4
4502,944868454,0.822916667,0,0.134353741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001329369,0.00292873,0,0,0,0,0,0,0,0,0.00877193,0.007224819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389031705,0,0,0,0.103946637,0.001476089,0.001579628,0.001476089,0.01100798,4
30,1021642713,0.5,0.563674322,0.551020408,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003424658,0.00103116,0,0,0,0,0,0,0,0,0.002230769,0.004790778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074328545,0,0,0,0,0.112911301,0,0,0,0,0,0,0,0.00177152,0.001705394,0.00177152,0.008553838,4
1356,948578414,0.760416667,0,0.12414966,0,0.005,0.001885741,0,0,0,0,0,0,0,0,0,0,0.004895188,0.008489411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001885741,0,0,0,0,0,0.1292716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001977683,0.003405758,0.001977683,0.012587736,4
22,868346016,0.895833333,0,0.154761905,0.078125,0.005,0.009271561,0,0,0,0,0,0,0,0,0.011494253,0.023641783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009271561,0,0,0,0,0.218261413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.004517534,0.002125399,0.014257347,4
1295,928866649,0.885416667,0,0.144557823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011370937,0.019716493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129249353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.007032865,0.002125399,0.010700153,4
1458,987588662,0.875,0.081419624,0.236394558,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0.013888485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079693231,0,0,0,0,0,0,0,0,0.002125399,0.00190159,0.002125399,0.003414334,4
1253,917679565,0.989583333,0,0.161564626,0,0.01,0.004571494,0,0,0,0,0,0,0,0,0.011494253,0.00677415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002285747,0,0,0,0,0.062539087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003188098,0.001609812,0.003188098,0.003714339,4
1088,843599036,1,0,0.163265306,0,0,0,0,0,0,0,0,0,0,0,0.022988506,0.050806124,0.005685469,0.003935402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234521576,0.051596204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003188098,0.004774098,0.003188098,0.009628709,4
1124,864262456,0.989583333,0,0.161564626,0,0,0,0,0,0,0,0.002666667,0.001145857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0.010111282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051644547,0,0,0,0,0,0,0,0,0.05801934,0,0,0,0,0,0,0,0,0.003188098,0.002148093,0.003188098,0.005042929,4
