,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,net_sales,sum,mean_price,Cluster
52,1082150713,0,0,0.005102041,0.046875,0,0,0,5.34E-18,0,0,0,0,0,0,0,0,0,0.019677008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007017773,0,0,0
37,1059441863,0,0.079331942,0.066326531,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007831317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002490178,0,0,0
530,560712606,0,0,0.00170068,0.015625,0.00222,0.005071501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000471838,0.001282819,0.000471838,0.0114223,0
4378,598794808,0,0,0.003401361,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0.002842734,0.003290469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086281277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053135,0.000754599,0.00053135,0.007142959,0
597,584966311,0,0,0.00170068,0.015625,0,0,0,0,0,0,0,0,0.00324492,0.002365264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105026257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053135,0.000553373,0.00053135,0.006000086,0
1919,1062848856,0.020833333,0,0.003401361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002860008,0.001726155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057156466,0,0,0,0,0,0,0.000797024,0.000402453,0.000797024,0.00342862,0
3089,518958590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006518942,0.011116669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327317421,0,0,0,0,0,0.000974495,0.002515331,0.000974495,0.009347384,0
216,423542828,0,0,0.003401361,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023125,0.026117857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266547944,0,0,0,0.001061637,0.005523667,0.001061637,0.017131662,0
1078,841469877,0,0.08559499,0.100340136,0.28125,0.005,0.002700039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002700039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.000447729,0.001062699,0.002700039,0
1447,984765735,0.072916667,0.010438413,0.047619048,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658228,0.044908788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103071248,0,0.001062699,0.011163039,0.001062699,0.033129045,0
804,678792334,0,0,0.032312925,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565,0.008687567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996999,0,0,0,0,0,0,0,0,0.001062699,0.001001102,0.001062699,0.00427149,0
1879,1060753660,0.135416667,0,0.022108844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0.031371951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319848855,0,0,0,0.001062699,0.006736056,0.001062699,0.020557437,0
586,582457768,0,0,0.018707483,0.171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008130081,0.014165811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133377793,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001509199,0.001062699,0.005714367,0
867,717763759,0,0,0,0,0,0,0,0,0.025641026,0.052689834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099969999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.014583889,0.001062699,0.042843469,0
2029,1079024020,0,0,0.008503401,0.078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565,0.007815905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089696566,0,0,0,0,0,0,0,0,0.001062699,0.000850182,0.001062699,0.003842912,0
698,628587263,0,0,0.00170068,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0.007826637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07979551,0,0,0,0.001062699,0.001302941,0.001062699,0.005128645,0
940,756861498,0,0.018789144,0.015306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003424658,0.002070985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149281699,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.000699262,0.001062699,0.003414334,0
787,670039189,0,0,0.030612245,0.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007874016,0.070189298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.011565492,0.001062699,0.034271918,0
3731,1066326453,0.083333333,0,0.013605442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007108988,0.013321476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35967984,0,0,0,0,0,0.001062699,0.00311398,0.001062699,0.010271575,0
1275,926270026,0,0,0.027210884,0.25,0.005,0.003414334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003414334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.000699262,0.001062699,0.003414334,0
1191,889003505,0,0,0.008503401,0.078125,0.005,0.002714324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002714324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.00045276,0.001062699,0.002714324,0
507,552010258,0,0,0.00170068,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.006567777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086108714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.002007234,0.001062699,0.007128673,0
1260,920640257,0,0,0.030612245,0.28125,0,0,0,0,0,0,0.002666667,0.002874244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129544143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001755701,0.001062699,0.006414377,0
934,751246786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.019729655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258671268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.007037896,0.001062699,0.021414592,0
1258,920220936,0,0.392484342,0.345238095,0.234375,0.005,0.006414377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006414377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001755701,0.001062699,0.006414377,0
1268,924114317,0,0,0.00170068,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010178117,0.022684433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232821881,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001252635,0.001062699,0.004985786,0
675,615726403,0,0.36743215,0.299319728,0,0.005,0.003585766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003585766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.00075963,0.001062699,0.003585766,0
818,690836382,0,0,0,0,0,0,0,0,0,0,0.002666667,0.003450373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155510675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.002208461,0.001062699,0.00770011,0
