,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,net_sales,sum,mean_price,Cluster
4013,638202754,0,0.918580376,0.782312925,0.3125,0.21125,0.142716325,0,0,0,0,0.018666667,0.01495375,0.120062043,0.053252239,0.034482759,0.010161225,0.067441027,0.052384274,0.023622047,0.006085608,0.010273973,0.006732869,0.050890585,0.057523562,0,0,0,0,0,0,0.004180602,0.009371959,0.027646747,0.041772953,0.030377281,0.04747897,0.001349537,0.011423837,0.047619048,0.00476849,0.171013813,0.135438089,0.012658228,0.015473101,0,0,0.003377901,0,0,0.096282252,0.063907869,0.031269543,0.057899087,0.028900931,0.161773891,0.118078719,0,0,0,0.117863027,0.143088256,0.152013153,0.27599655,0.199777576,0.040016006,0.035512689,0,0.147332625,0.203485243,0.147332625,0.076199462,3
2606,876528464,0,0.931106472,0.758503401,0,0.095,0.095772797,0.024070022,0.051687827,0,0,0.042666667,0.017949621,0.045428881,0.017660641,0,0,0.074860564,0.055069297,0,0,0,0,0.081424936,0.083717907,0,0,0,0,0.119565217,0.095795682,0,0,0.196044037,0.203091736,0.021358759,0.039054033,0.002314815,0.021779415,0,0,0,0,0,0,0.070175439,0.076189004,0.005040674,0.104155931,0,0.050562608,0.056014004,0,0.054834186,0,0,0.107404937,0,0,0.099942405,0,0.098105073,0,0.32288,0.222049344,0,0,0.137020567,0.16134644,0.253329041,0.16134644,0.056925246,3
3981,598383412,0,0.939457203,0.765306122,0,0.155,0.134759068,0.021881838,0.01000361,0.025641026,0.015794652,0.005333333,0.001907627,0.098158832,0.059998874,0.011494253,0.016867633,0.171115546,0.106887611,0.015748031,0.016033237,0.034246575,0.020016637,0.061068702,0.093857654,0,0,0,0,0,0,0.092528428,0.137450408,0,0,0,0,0.017361111,0.102792736,0,0,0.003554494,0.004168751,0.090189873,0.070587552,0.01754386,0.00193177,0.004347067,0.022174058,0.029967666,0.042989036,0.088071605,0.155722326,0.046562132,0.114214256,0.144284822,0.160551479,0,0,0,0.078101052,0,0.225112556,0,0.139734756,0,0.022737853,0.013896609,0.162606801,0.236491415,0.162606801,0.071180729,3
4162,909162596,0.677083333,0.991649269,0.918367347,0,0.07,0.071801026,0.030634573,0.008634695,0,0,0.010666667,0.009410108,0.042365677,0.026930225,0.114942529,0.101612248,0.122237573,0.136028008,0.039370079,0.049621112,0.003424658,0.003630723,0.132315522,0.136756581,0.040650407,0.077026596,0.102150538,0.019809338,0,0,0,0,0.002966782,0.001860412,0,0,0.05787037,0.217467135,0,0,0.036341146,0.028903341,0,0,0.087719298,0.148244021,0.005128645,0.013671224,0,0.106030006,0.091589993,0.09380863,0.082950418,0.141392247,0.26171143,0.107969415,0.145048349,0.00813847,0,0,0.059384931,0.152658489,0,0.088686375,0,0,0.213285158,0.163568544,0.220991946,0.163568544,0.064249747,3
1012,789726510,0,0.897703549,0.731292517,0,0.01,0.183745482,0.006564551,0.007656899,0,0,0,0,0,0,0.034482759,0.096802601,0.108023902,0.103465522,0.031496063,0.03031101,0,0,0.427480916,0.369320767,0.170731707,0.087084322,0.220430108,0.27371739,0.043478261,0.033471831,0,0,0.003813344,0.009560981,0,0,0,0,0.142857143,0.161985599,0,0,0,0,0.087719298,0.129389947,0.091872741,0.056574414,0,0,0,0.297894517,0.071395486,0.107961651,0,0.090250643,0.039044761,0.052112862,0.096032011,0,0.237437485,0,0,0,0.453114579,0,0.186158977,0.165781084,0.275232542,0.165781084,0.157357438,3
4143,883483117,0,0.947807933,0.772108844,0,0.135,0.211803026,0,0,0,0,0.010666667,0.010632782,0.37190678,0.231052543,0.022988506,0.040577158,0.086231501,0.155836635,0.015748031,0.009772082,0,0,0,0,0,0,0,0,0,0,0.043478261,0.033655214,0.074360216,0.068950306,0.035028364,0.037815451,0.001865741,0.009221915,0,0,0.002765396,0.012969448,0.075949367,0.133041559,0.00877193,0.0130974,0.007844557,0,0,0.119806694,0.089515626,0.187304565,0.134709609,0.069612338,0,0,0,0,0,0.040697359,0.087810895,0.900193027,0.190634146,0.116651233,0,0.050891151,0.188438021,0.168350691,0.35403283,0.168350691,0.102935303,3
4075,758124861,0,0.82045929,0.668367347,0,0.035,0.052600751,0.118161926,0.149076358,0.025641026,0.012632208,0,0,0,0,0.149425287,0.135753963,0.068225622,0.020822091,0.039370079,0.028321484,0.071917808,0.037295068,0.213740458,0.141176471,0.040650407,0.088677976,0,0,0.010869565,0.015951419,0,0,0.022880067,0.028903508,0.010252204,0.01028281,0,0,0.071428571,0.08332936,0,0,0,0,0.140350877,0.063825677,0.007514393,0.061193237,0.023967466,0,0,0.096406408,0.022749497,0.080700292,0.128015229,0.06899838,0.166988996,0,0.18306102,0,0.119631658,0,0.177111111,0,0.466186475,0,0.057392996,0.178533475,0.187402217,0.178533475,0.075751606,3
4087,774630370,0,0.862212944,0.727891156,0.234375,0.025,0.031029015,0.006564551,0.00308382,0,0,0.002666667,0.001254681,0.66908305,0.287559836,0.034482759,0.079325295,0.160142592,0.189123024,0.078740157,0.080926885,0.003424658,0.004540571,0,0,0,0,0,0,0.02173913,0.005055641,0.004551839,0.011467924,0.011440033,0.024137402,0.017278382,0.011250452,0.009259259,0.030478101,0.023809524,0.01070526,0,0,0,0,0,0,0.006205803,0.022785373,0,0.056549336,0.061925624,0.244110903,0.088030367,0.115298041,0.32729544,0,0,0,0.02900967,0.132459745,0.199809478,0,0.114978903,0.07768393,0.179671869,0,0,0.181382572,0.266675386,0.181382572,0.072961514,3
4238,1010245049,0,0.638830898,0.520408163,0,0.005,0.000542865,0.004376368,0.002406884,0,0,0.034666667,0.004077713,0.00648984,0.003029791,0.011494253,0.027096599,0.180513625,0.145557208,0.165354331,0.105912988,0,0,0.213740458,0.091452714,0.06504065,0.071962319,0.231182796,0.114935165,0,0,0,0,0,0,0,0,0,0,0.142857143,0.014376997,0.006909936,0.009004502,0,0,0.219298246,0.086620562,0.000542865,0.026675559,0,0.014137334,0.067266817,0.250156348,0.060106119,0.071855337,0,0.044696464,0.084694898,0.020864638,0,0,0,0.250125063,0,0,0.040216086,0,0.049849917,0.185676939,0.137528235,0.185676939,0.035317337,3
4706,508143708,0,0.542797495,0.442176871,0,0.005,0.001414306,0,0,0,0,0.322666667,0.272137759,0,0,0.011494253,0.013480558,0.062540154,0.013267173,0.015748031,0.01457035,0,0,0.040712468,0.065388365,0.008130081,0.021213302,0,0,0.532608696,0.346078973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0.013870108,0.001414306,0,0,0.101367237,0,0.124452783,0.015813005,0.103793247,0,0.167778519,0.199733244,0,0.081054229,0,0,0,0,0,0,0,0.199555309,0.202975558,0.29223618,0.202975558,0.034894168,3
4112,841500952,0,0.922755741,0.75170068,0,0.02,0.010757297,0.196936543,0.253851014,0.230769231,0.08830247,0.008,0.00298947,0.01946952,0.029700963,0.057471264,0.052838369,0.109445269,0.131316056,0.133858268,0.077386699,0.054794521,0.03408894,0.020356234,0.014624634,0.048780488,0.174487375,0.016129032,0.029649941,0.065217391,0.034401604,0.001672241,0.004042219,0,0,0,0,0,0,0.071428571,0.04332173,0,0,0,0,0.087719298,0.167252637,0.002689324,0.06252084,0.018615435,0.044912483,0.219804951,0.097560976,0.089436707,0.064855454,0.15357589,0.075050033,0.273813493,0.077148763,0.065799711,0.127088727,0,0,0,0,0.242363612,0,0.240633685,0.209086079,0.286259753,0.209086079,0.087713302,3
