CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty
0796583417,0,0,0,0,3,36.97,0,0,0,0,0,0,0,0,3,2.94,4,17.43,4,8.16,9,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.97,12.323333333,0,0,0,0,0.98,4.3575,2.04,2.2122222222,0,0,0,0,0,0,0,0,0,0,0,1.97
0796652311,0,335,335,0,2,5.98,0,0,0,0,0,0,0,0,1,3.99,6,63.74,1,2.09,0,0,0,0,1,5.99,0,0,0,0,0,0,0,0,0,0,0,0,1,12.95,0,0,0,0,5,30.95,2.99,0,0,0,0,3.99,10.623333333,2.09,0,0,5.99,0,0,0,0,0,0,0,12.95,0,6.19
0797009206,0,0,0,0,1,4.49,0,0,0,0,0,0,3,2.97,0,0,2,7.63,0,0,0,0,0,0,0,0,0,0,0,0,3.5,45.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0.99,0,3.815,0,0,0,0,0,0,12.991428571,0,0,0,0,0,0,0
0804244010,0,307,314,7,8,62.96,0,0,0,0,0,0,0.5,1.88,4,6.91,4,60.91,0,0,0,0,0,0,0,0,1,2.99,0,0,0,0,0,0,0,0,0,0,5,97.33,0,0,0,0,0,0,7.87,0,0,0,3.76,1.7275,15.2275,0,0,0,0,2.99,0,0,0,0,0,0,19.466,0,0
0807016340,0,286,305,19,4,5.76,0,0,0,0,0,0,0,0,2,4.29,1,6.99,11,20.79,0,0,0,0,1,0.43,0,0,0,0,0,0,1.5,9.89,5,14.95,0,0,0,0,1,2.99,0,0,16,10.62,1.44,0,0,0,0,2.145,6.99,1.89,0,0,0.43,0,0,0,6.5933333333,2.99,2.99,0,0,0,0.66375
0808052898,0,0,52,52,10,37.89,6,1.58,0,0,0,0,3.875,21.6,1,1.95,18,68.47,1,5.92,0,0,1,1.79,8,15.25,0,0,0,0,0,0,8,52.96,41.39,101.57,0,0,0,0,0,0,3,36.64,5,9.74,3.789,0.2633333333,0,0,5.5741935484,1.95,3.8038888889,5.92,0,1.79,1.90625,0,0,0,6.62,0,2.4539743899,0,0,12.213333333,1.948
0812917375,0,425,465,40,0,0,4,5.2,0,0,0,0,2,2.18,2,2,1,1.59,0,0,1,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.44,14,4.42,0,1.3,0,0,1.09,1,1.59,0,0.74,0,0,0,0,0,0,0,0,0,0,4.44,0.3157142857
0814416525,0,164,207,43,2,8.98,0,0,0,0,0,0,0,0,3,9.48,10,73.91,1,1.19,0,0,2,3.98,0,0,0,0,0,0,1,5.99,0,0,4.222,28.94,2,19.98,0,0,0,0,0,0,1,4.99,4.49,0,0,0,0,3.16,7.391,1.19,0,1.99,0,0,0,5.99,0,0,6.8545712932,9.99,0,0,4.99
0817637101,0,0,27,27,5,18.25,0,0,0,0,0,0,0,0,5,2.5,6,18.54,0,0,6,25.19,0,0,5,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13.94,3.65,0,0,0,0,0.5,3.09,0,4.1983333333,0,4.79,0,0,0,0,0,0,0,0,0,0.87125
0819390030,0,459,488,29,46.25,199.06,1,2.69,0,0,2,3.34,13.681,54.48,0,0,3,6.53,4,13.6,0,0,0,0,0,0,0,0,4,2.92,4,21.3,9.361,22.29,48.98,121.8,0,0,0,0,0,0,2.861,64.73,0,0,4.304,2.69,0,1.67,3.9821650464,0,2.1766666667,3.4,0,0,0,0,0.73,5.325,2.3811558594,0,2.4867292773,0,0,22.624956309,0
0820571438,0,0,47,47,1,2.09,0,0,0,0,46,192.08,0,0,0,0,1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,4.1756521739,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0821080819,0,111,129,18,0,0,0,0,0,0,1,2.39,0,0,0,0,16,70.89,0,0,0,0,0,0,0,0,0,0,1,10.39,0,0,0,0,0,0,0,0,1,13.99,0,0,0,0,0,0,0,0,0,2.39,0,0,4.430625,0,0,0,0,0,10.39,0,0,0,0,0,13.99,0,0
0821443173,0,0,0,0,6,13.13,20,20.4,2,19.98,10,32.98,10,19.9,6,9.51,27,58.05,6,10.94,0,0,1,2.49,0,0,2,0.7,0,0,0,0,1,6.33,0,0,0,0,0,0,140.667,267.21,0,0,2,4.98,2.1883333333,1.02,9.99,3.298,1.99,1.585,2.15,1.8233333333,0,2.49,0,0.35,0,0,6.33,1.899592655,0,0,0,0,2.49
0824755714,95,272,407,40,3,6.54,1,1,0,0,0,0,0,0,4,3.58,7,13.63,5,10.31,3,9.42,1,2.49,5,7.99,0,0,2,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,1,0,0,0,0.895,1.9471428571,2.062,3.14,2.49,1.598,0,1.39,0,0,0,0,0,0,0,0
0825921380,0,213,263,50,9,23.52,142,62.81,1,3.59,0,0,4,14.72,4,13.33,37.972,165.83,11,45.3,4,8.32,9,21.9,3,1.47,2,2.38,0,0,1,2.49,0,0,0,0,1,1,6,5.58,1.278,1.83,2.222,49.98,3,1.5,2.6133333333,0.4423239437,3.59,0,3.68,3.3325,4.3671652797,4.1181818182,2.08,2.4333333333,0.49,1.19,0,2.49,0,1.4319248826,0,1,0.93,22.493249325,0.5
0827023169,0,0,51,51,8,18.2,0,0,0,0,2,13.85,0,0,0,0,6,17.66,0,0,10,37.9,9,12.97,0,0,1,3.99,0,0,11.208,59.96,0,0,0,0,0,0,0,0,5.5,41.55,1,3.99,1,6.99,2.275,0,0,6.925,0,0,2.9433333333,0,3.79,1.4411111111,0,3.99,0,5.3497501784,0,7.5545454545,0,0,0,3.99,6.99
0827223801,0,401,452,51,25,61.71,0,0,0,0,0,0,18.944,123.82,1,1.79,7.5,20.14,0,0,2,4.48,6,3,4,17.96,0,0,0,0,9.625,63.7,0,0,14.5,78.5,1,1.8,0,0,3,11.5,0,0,0,0,2.4684,0,0,0,6.5361064189,1.79,2.6853333333,0,2.24,0.5,4.49,0,0,6.6181818182,0,3.8333333333,5.4137931034,1.8,0,0,0
0832329981,0,0,0,0,2,4.96,0,0,0,0,0,0,0.708,4.25,0,0,2.304,10.06,0,0,0,0,0,0,0,0,0,0,0,0,1.806,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,6.0028248588,0,4.3663194444,0,0,0,0,0,0,1.5337763012,0,0,0,0,0,0,0
0833638588,67,448,557,42,32.667,75.95,0,0,0,0,12,37.24,27.861,165.96,2,5.15,30.916,152.82,0,0,1,4.07,0,0,1,8.99,0,0,1,5.56,14.791,110.31,2.5,9.98,10.083,31.27,23.444,36.81,2,17.23,4.333,17.12,0,0,1,0.99,2.3249762758,0,0,3.1033333333,5.9567136858,2.575,4.9430715487,0,4.07,0,8.99,0,5.56,7.4579135961,3.992,3.9510731595,3.1012595458,1.5701245521,8.615,0,0.99
