,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,net_sales,sum,mean_price,Cluster
150,378264105,0,0,0.057823129,0.53125,0,0,0,0,0,0,0,0,0.00648984,0.004505266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100025006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001509199,0.001062699,0.005714367,2
880,722288131,0,0.315240084,0.31122449,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008130081,0.010588944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996999,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001001102,0.001062699,0.00427149,2
699,628796583,0,0,0.05952381,0.546875,0.005,0.003557194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003557194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.000749569,0.001062699,0.003557194,2
92,241359264,0,0,0.040816327,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005376344,0.071728768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559911982,0,0,0,0,0,0,0,0,0,0.001062699,0.013577756,0.001062699,0.039986286,2
2945,326039625,0,0,0.071428571,0.65625,0,0,0,0,0,0,0.002666667,0.0022341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100692441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001252635,0.001062699,0.004985786,2
627,597738632,0,0,0.044217687,0.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007874016,0.008748062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124635265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001001102,0.001062699,0.00427149,2
109,305810285,0,0,0.052721088,0.484375,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.00630454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082657463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001906621,0.001062699,0.006842955,2
123,337197941,0,0,0.042517007,0.390625,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.013148716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172389991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.004522565,0.001062699,0.014271632,2
304,456452218,0,0,0.05952381,0.546875,0.005,0.00412863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.000950795,0.001062699,0.00412863,2
316,460522105,0,0,0.083333333,0.765625,0.005,0.002128602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002128602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.000246502,0.001062699,0.002128602,2
