,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,net_sales,sum,mean_price,Cluster
3581,1014338675,0.4375,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001672241,0.002694812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084725818,0,0,0,0,0,0,0,0.00053135,0.000402453,0.00053135,0.005142931,5
1896,1061683585,0.229166667,0,0.037414966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001906672,0.00306872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152417242,0,0,0,0,0,0,0.00053135,0.001106746,0.00053135,0.009142988,5
1653,1018535037,0.354166667,0,0.057823129,0,0,0,0,0,0,0,0.002666667,0.003066287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138199654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001906621,0.001062699,0.006842955,5
1608,1015758731,0.447916667,0,0.073129252,0,0,0,0,0,0,0,0.002666667,0.003578402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161281016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.002309074,0.001062699,0.007985828,5
1508,996547089,0.489583333,0,0.079931973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003424658,0.002764202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199250468,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001101715,0.001062699,0.004557208,5
1668,1019373859,0.34375,0,0.056122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.021045843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275927524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.007540962,0.001062699,0.022843183,5
1926,1063237687,0.1875,0,0.030612245,0,0,0,0,0,0,0,0.002666667,0.004986717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224754761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.003415819,0.001062699,0.01112873,5
4555,1015475575,0.4375,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.005251589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068852459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001504168,0.001062699,0.005700081,5
1902,1062008956,0.229166667,0,0.037414966,0,0,0,0,0,0,0,0.002666667,0.001632366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073571841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.000779753,0.001062699,0.003642909,5
1779,1050227907,0.322916667,0,0.052721088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565,0.081326089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933311104,0,0,0,0,0,0,0,0,0.001062699,0.013577756,0.001062699,0.039986286,5
1780,1050359098,0.322916667,0,0.052721088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008130081,0.028296207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266422141,0,0,0,0,0,0,0,0,0,0,0.001062699,0.003516433,0.001062699,0.011414449,5
3579,1014037764,0.4375,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007108988,0.01035703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27963982,0,0,0,0,0,0.001062699,0.002309074,0.001062699,0.007985828,5
1645,1017738665,0.375,0,0.06122449,0,0.005,0.011414449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011414449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.003516433,0.001062699,0.011414449,5
