,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,net_sales,sum,mean_price,Cluster
1384,960199727,0,0.912317328,0.784013605,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.010463693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0.074538359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13718723,0,0,0,0,0,0,0,0,0,0,0.759946655,0,0,0,0.002125399,0.020696143,0.002125399,0.06020086,1
606,588214650,0,0.8434238,0.732993197,0.421875,0,0,0,0,0.025641026,0.42164166,0,0,0,0,0,0,0.005685469,0.076273083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799993333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.149380474,0.002125399,0.425634652,1
650,604477265,0,0.943632568,0.823129252,0.5,0,0,0,0,0,0,0,0,0.00648984,0.006746635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658228,0.020895465,0,0,0,0,0,0,0.149787447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047957687,0,0.002125399,0.007938384,0.002125399,0.023971771,1
152,378700611,0,0.929018789,0.81462585,0.53125,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.032904695,0.007874016,0.023376927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431406385,0.33305544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.016093087,0.002125399,0.047129245,1
1453,985650894,0,0.941544885,0.821428571,0.5,0.005,0.142844898,0,0,0,0,0,0,0,0,0,0,0.005685469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142844898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.049798522,0.002125399,0.142844898,1
1300,930775879,0,0.837160752,0.75,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.009147505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0.065381848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119930975,0,0,0,0,0,0,0,0,0,0,0.666592576,0,0,0,0.002125399,0.018080199,0.002125399,0.052772182,1
960,768395527,0,0.922755741,0.792517007,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.011370937,0.011819366,0,0,0,0,0,0,0.008130081,0.004249743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077480587,0,0,0,0.040013338,0,0,0,0,0,0,0,0,0,0,0.003188098,0.004618148,0.003188098,0.008128688,1
223,427053301,0,0.939457203,0.81462585,0.453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015748031,0.028028907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0.023523513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199666528,0,0,0,0,0,0,0,0,0,0.239831074,0,0,0,0.003188098,0.009744392,0.003188098,0.022257461,1
228,429324973,0,0.96868476,0.829931973,0.375,0,0,0.004376368,0.005987123,0,0,0,0,0,0,0.011494253,0.067673757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066355452,0,0,0,0.624765478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003188098,0.006524768,0.003188098,0.01711453,1
1385,960339141,0,0.849686848,0.746598639,0.5,0.015,0.01252875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00417625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003188098,0.003908824,0.003188098,0.00417625,1
3104,532138351,0,0.918580376,0.802721088,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020356234,0.032369191,0,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0.013189736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16611074,0,0,0,0,0,0,0,0.134474328,0,0,0,0.003188098,0.005045754,0.003188098,0.012200174,1
2959,365909266,0,0.93736952,0.804421769,0.375,0.005,0.001700024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006688963,0.029178831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001700024,0,0,0,0,0,0,0,0,0,0,0,0,0.229348082,0,0,0,0,0,0,0,0.003188098,0.009900343,0.003188098,0.015621652,1
4303,345293617,0,0.926931106,0.81122449,0.515625,0.005,0.00427149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0.018509233,0,0,0,0,0.012658228,0.01740966,0,0,0.00427149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188708602,0,0.039957331,0,0.003188098,0.009794699,0.003188098,0.029243275,1
4408,679405910,0,0.837160752,0.724489796,0.390625,0,0,0,0,0,0,0,0,0,0,0,0,0.022741874,0.018071258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059232097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004250797,0.006404033,0.004250797,0.004903641,1
3102,530551100,0,0.939457203,0.802721088,0.34375,0.01,0.499978571,0,0,0,0,0,0,0,0,0,0,0.011370937,0.000131619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249989286,0,0,0,0,0,0.000862813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004250797,0.175610345,0.004250797,0.250060715,1
4856,706573888,0,0.782881002,0.709183673,0.65625,0.01,0.06408663,0,0,0,0,0,0,0,0,0,0,0.011370937,0.016978823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032043315,0,0,0,0,0,0.111302847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004250797,0.028554037,0.004250797,0.041257732,1
